annotator_nationalities,annotator_regions,annotator_understood_languages,data_point_nationality,data_point_attribute,data_point_language,stereotype_score,new_association
['Uruguay'],[],['en'],Bolivia,spoken,en,1.0,False
['Uruguay'],[],['en'],Argentina,spoken,en,5.0,True
['Uruguay'],[],['en'],Bolivia,poor,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Peru,friendly,en,4.0,False
"['Peru', 'Brazil']",[],['en'],Brazil,friendly,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Canada,friendly,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Peru,delicious food,en,5.0,True
['Cuba'],[],['en'],El Salvador,devotion,en,4.0,False
['Cuba'],[],['en'],Dominican Republic,devotion,en,5.0,True
['Cuba'],[],['en'],El Salvador,great prisons,en,5.0,True
['Argentina'],[],['en'],Cuba,cigars,en,3.0,False
['Argentina'],[],['en'],United States,cigars,en,5.0,True
['Argentina'],[],['en'],Cuba,revolution,en,5.0,True
['Argentina'],[],['en'],Cuba,che guevara,en,5.0,True
['Argentina'],[],['en'],Cuba,comunism,en,5.0,True
['Argentina'],[],['en'],Colombia,coke,en,5.0,False
['Argentina'],[],['en'],Mexico,coke,en,5.0,True
['Argentina'],[],['en'],Colombia,inequality,en,5.0,True
['Uruguay'],[],['en'],Canada,friendly,en,5.0,False
['Uruguay'],[],['en'],Canada,thankful,en,5.0,True
['Chile'],[],['en'],Bolivia,poor,en,5.0,False
['Chile'],[],['en'],Ethiopia,poor,en,5.0,True
['Chile'],[],['en'],Bolivia,natives,en,5.0,True
['Uruguay'],[],['en'],Cuba,revolution,en,5.0,False
['Uruguay'],[],['en'],Cuba,block,en,5.0,True
['Uruguay'],[],['en'],Cuba,che guevara,en,5.0,False
['Uruguay'],[],['en'],United States,cigars,en,5.0,False
['Uruguay'],[],['en'],United States,guns,en,5.0,True
['Uruguay'],[],['en'],United States,fat,en,5.0,True
['Uruguay'],[],['en'],United States,capitlaism,en,5.0,True
['Uruguay'],[],['en'],United States,expensive health,en,5.0,True
['Argentina'],[],['en'],Peru,delicious food,en,4.0,False
['Argentina'],[],['en'],Italy,delicious food,en,5.0,True
['Chile'],[],['en'],Cuba,comunism,en,5.0,False
['Chile'],[],['en'],Venezuela,comunism,en,5.0,True
['Chile'],[],['en'],Cuba,fidel castro,en,5.0,True
['Cuba'],[],['en'],Dominican Republic,devotion,en,5.0,False
['Cuba'],[],['en'],Saudi Arabia,devotion,en,5.0,True
['Cuba'],[],['en'],Dominican Republic,discrimination against haitians,en,5.0,True
['Uruguay'],[],['en'],Peru,craftsmanship,en,3.0,False
['Uruguay'],[],['en'],Chile,craftsmanship,en,5.0,True
['Uruguay'],[],['en'],Bolivia,craftsmanship,en,5.0,True
['Uruguay'],[],['en'],Germany,craftsmanship,en,5.0,True
['Argentina'],[],['en'],Argentina,spoken,en,5.0,False
['Argentina'],[],['en'],Bolivia,spoken,en,5.0,True
['Argentina'],[],['en'],Argentina,mate drink,en,5.0,True
['Cuba'],[],['en'],Cuba,fidel castro,en,5.0,False
['Cuba'],[],['en'],Venezuela,fidel castro,en,5.0,True
['Cuba'],[],['en'],Cuba,people wants freedom,en,5.0,True
['Argentina'],[],['en'],United States,guns,en,,False
['Argentina'],[],['en'],Uruguay,i speak spanish,en,5.0,False
['Argentina'],[],['en'],Argentina,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Colombia,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Bolivia,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Paraguay,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Spain,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Uruguay,stealing from other people's cultures,en,5.0,True
['Argentina'],[],['en'],Argentina,spoken,en,5.0,False
['Argentina'],[],['en'],Argentina,liar,en,5.0,True
['Argentina'],[],['en'],Argentina,generous,en,5.0,True
['Costa Rica'],[],['en'],Mexico,they love salsa,en,5.0,False
['Costa Rica'],[],['en'],India,they love salsa,en,5.0,True
['Costa Rica'],[],['en'],Mexico,spicy food,en,5.0,True
['Costa Rica'],[],['en'],Mexico,delicious gastronomy,en,5.0,True
['Costa Rica'],[],['en'],Mexico,native population,en,5.0,True
['Uruguay'],[],['en'],Dominican Republic,devotion,en,1.0,False
['Uruguay'],[],['en'],United States,devotion,en,5.0,True
['Uruguay'],[],['en'],Dominican Republic,helpful,en,5.0,True
['Argentina'],[],['en'],Saudi Arabia,devotion,en,4.0,False
['Argentina'],[],['en'],Iran,devotion,en,5.0,True
['Argentina'],[],['en'],Saudi Arabia,rich,en,5.0,True
['Uruguay'],[],['en'],Uruguay,stealing from other people's cultures,en,1.0,False
['Uruguay'],[],['en'],Uruguay,mate,en,5.0,True
['Uruguay'],[],['en'],Uruguay,dulce de leche,en,5.0,True
['Uruguay'],[],['en'],Uruguay,gardel,en,5.0,True
['Argentina'],[],['en'],Argentina,mate drink,en,5.0,False
['Argentina'],[],['en'],Uruguay,mate drink,en,5.0,True
['Argentina'],[],['en'],Syria,mate drink,en,5.0,True
['Argentina'],[],['en'],Argentina,arrogant,en,5.0,True
['Cuba'],[],['en'],Cuba,people wants freedom,en,5.0,False
['Cuba'],[],['en'],North Korea,people wants freedom,en,5.0,True
['Cuba'],[],['en'],Cuba,beautiful beaches,en,5.0,True
